JINA_ID,Priority,Ref,Name,Simbad_Identifier,NLTE,Sci_key,C_key,Loc,Type,RA,DEC,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
,,Afsar2018a,HIP 117027,,*,*,*,,,297.796874999998,-9.04144166666667,-12.85,,,,,,,,,,4926.0,2.68,-0.29,1.16,,,,,,,,,,7.38,,,,6.2,,4.67,,5.38,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,5.39,,,Mohammad
,,Afsar2018a,HIP 117977,,*,*,*,,,344.028124999999,-9.06196666666667,-16.77,,,,,,,,,,5245.0,3.02,-0.25,1.24,,,,,,,,,,7.33,,,,6.19,,4.77,,5.41,,,,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,,5.34,,,Mohammad
,,Afsar2018a,HIP 118209,,*,*,*,,,355.023749999998,-3.55598333333333,-0.2,,,,,,,,,,5072.0,2.75,0.04,1.35,,,,,,,,,,7.67,,,,6.45,,4.93,,5.7,,,,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,5.69,,,Mohammad
,,Roederer+2010,,,*,*,*,,,2 14 40.29839999999915,-1 12 5.11199999999981,,,,,,,,,,,,,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,1.05,,,,,,,,,,,,0.12,,,,,-0.27,,,,,,,,,,,,,,,,1.2,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,11 53 37.32239999999692,-2 0 36.75599999999939,,,,,,,,,,,,,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,0.17,,,,,,,,,,,,-0.05,,,,,-1.03,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,19 58 49.73760000000141,-18 12 11.123999999998375,,,,,,,,,,,,,-3.05,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,-1.81,,,,,,,,,,,,-2.52,,,,,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,14 21 45.261600000000755,0 46 59.16000000000025,,,,,,,,,,,,,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,,,-0.87,,,,,-1.22,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,12 28 44.64240000000544,4 1 26.65200000000013,,,,,,,,,,,,,-2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,-2.29,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,4 13 13.111200000000949,6 36 1.7639999999988731,,,,,,,,,,,,,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,-0.95,,,,,-1.5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,14 23 58.16640000000078,8 1 33.34800000000243,,,,,,,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,-0.15,,,,,,,,,,,,-1.03,,,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,12 59 19.9319999999949,9 14 35.628000000001805,,,,,,,,,,,,,-2.31,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,-0.52,,,,,,,,,,,,-1.36,,,,,-1.69,,,,,,,,,,,,,,,,0.88,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,17 28 14.469600000002174,17 30 35.85599999999829,,,,,,,,,,,,,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,0.04,,,,,,,,,,,,-0.55,,,,,-0.78,,,,,,,,,,,,,,,,0.27,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,6 3 14.860800000001433,19 21 38.699999999998056,,,,,,,,,,,,,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,0.85,,,,,,,,,,,,0.06,,,,,-0.23,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,13 1 52.41600000000105,29 11 18.0959999999979,,,,,,,,,,,,,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,0.52,,,,,,,,,,,,-0.47,,,,,-0.69,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,15 6 53.8271999999958,30 0 36.93599999999577,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,0.41,,,,,,,,,,,,-0.24,,,,,-0.36,,,,,,,,,,,,,,,,0.56,,,,,,,,,,Mohammad
,,Roederer+2010,,,*,*,*,,,11 59 59.056800000002454,51 46 17.616000000003282,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,0.71,,,,,,,,,,,,-0.13,,,,,-0.51,,,,,,,,,,,,,,,,0.6,,,,,,,,,,Mohammad
